Regiao;Estado;UF;Governador;TotalCasos;TotalObitos
Norte;Rondônia;RO;MARCOS JOSE ROCHA DOS SANTOS;65386;1340
Norte;Acre;AC;GLADSON DE LIMA CAMELI;27885;657
Norte;Amazonas;AM;WILSON MIRANDA LIMA;136708;4031
Norte;Roraima;RR;ANTONIO OLIVERIO GARCIA DE ALMEIDA;50940;642
Norte;Pará;PA;HELDER ZAHLUTH BARBALHO;228068;6551
Norte;Amapá;AP;ANTONIO WALDEZ GÓES DA SILVA;47935;704
Norte;Tocantins;TO;MAURO CARLESSE;66865;922
Nordeste;Maranhão;MA;FLÁVIO DINO DE CASTRO E COSTA;172176;3735
Nordeste;Piauí;PI;JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS;94733;2101
Nordeste;Ceará;CE;CAMILO SOBREIRA DE SANTANA;241167;8921
Nordeste;Rio Grande do Norte;RN;MARIA DE FATIMA BEZERRA;68765;2377
Nordeste;Paraíba;PB;JOÃO AZEVEDO LINS FILHO;119987;2804
Nordeste;Pernambuco;PE;PAULO HENRIQUE SARAIVA CÂMARA;145096;8190
Nordeste;Alagoas;AL;JOSE RENAN VASCONCELOS CALHEIROS FILHO;86401;2070
Nordeste;Sergipe;SE;BELIVALDO CHAGAS SILVA;77172;2025
Nordeste;Bahia;BA;RUI COSTA DOS SANTOS;311247;6697
Sudeste;Minas Gerais;MG;ROMEU ZEMA NETO;292105;7298
Sudeste;Espírito Santo;ES;JOSE RENATO CASAGRANDE;130966;3548
Sudeste;Rio de Janeiro;RJ;WILSON JOSÉ WITZEL;262006;18291
Sudeste;São Paulo;SP;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;973315;35125
Sul;Paraná;PR;CARLOS ROBERTO MASSA JUNIOR;177840;4421
Sul;Santa Catarina;SC;CARLOS MOISÉS DA SILVA;220068;2765
Sul;Rio Grande do Sul;RS;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;185778;4648
Centro-Oeste;Mato Grosso do Sul;MS;REINALDO AZAMBUJA SILVA;68325;1278
Centro-Oeste;Mato Grosso;MT;MAURO MENDES FERREIRA;121145;3372
Centro-Oeste;Goiás;GO;RONALDO RAMOS CAIADO;202754;4529
Centro-Oeste;Distrito Federal;DF;IBANEIS ROCHA BARROS JUNIOR;190505;3203
